2025-01-09 14:35:26, CPU: 12%, Memory: 9.22%, Download: 61.69 KiB/s, Upload:  5.08 KiB/s
2025-01-09 14:36:01, CPU: 11.4%, Memory: 9.25%, Download: 61.69 KiB/s, Upload:  5.08 KiB/s
2025-01-09 15:24:30, CPU: 12%, Memory: 9.30%, Download: 69.49 KiB/s, Upload:  5.47 KiB/s
2025-01-09 15:24:32, CPU: 11.1%, Memory: 9.30%, Download: 69.49 KiB/s, Upload:  5.47 KiB/s
2025-01-09 15:24:34, CPU: 14.1%, Memory: 9.30%, Download: 69.49 KiB/s, Upload:  5.47 KiB/s
2025-01-09 15:24:37, CPU: 12.3%, Memory: 9.30%, Download: 69.49 KiB/s, Upload:  5.47 KiB/s
2025-01-09 15:24:39, CPU: 12.3%, Memory: 9.30%, Download: 69.49 KiB/s, Upload:  5.47 KiB/s
2025-01-09 15:24:41, CPU: 13.3%, Memory: 9.30%, Download: 69.49 KiB/s, Upload:  5.47 KiB/s
2025-01-09 15:24:43, CPU: 11.1%, Memory: 9.30%, Download: 69.49 KiB/s, Upload:  5.47 KiB/s
2025-01-09 15:24:46, CPU: 14.3%, Memory: 9.30%, Download: 69.49 KiB/s, Upload:  5.47 KiB/s
2025-01-09 15:48:54, CPU: 11.8%, Memory: 9.30%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:48:56, CPU: 12.3%, Memory: 9.31%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:48:59, CPU: 12.2%, Memory: 9.31%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:49:01, CPU: 11.8%, Memory: 9.32%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:49:03, CPU: 12.4%, Memory: 9.32%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:49:05, CPU: 11.8%, Memory: 9.31%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:49:08, CPU: 14.4%, Memory: 9.32%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:49:10, CPU: 11.4%, Memory: 9.32%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:49:12, CPU: 11.3%, Memory: 9.33%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:49:14, CPU: 12.4%, Memory: 9.34%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:49:16, CPU: 11.6%, Memory: 9.33%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-09 15:49:19, CPU: 12.3%, Memory: 9.33%, Download: 77.92 KiB/s, Upload:  5.97 KiB/s
2025-01-16 16:12:14, CPU: 14.3%, Memory: 10.19%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:16, CPU: 12.3%, Memory: 10.21%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:19, CPU: 12.3%, Memory: 10.21%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:21, CPU: 12.3%, Memory: 10.21%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:23, CPU: 14.4%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:25, CPU: 12.2%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:27, CPU: 12.2%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:30, CPU: 11.6%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:32, CPU: 11.8%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:34, CPU: 12.4%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:36, CPU: 11.1%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:38, CPU: 11.8%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:41, CPU: 11.5%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:43, CPU: 13.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:45, CPU: 12.3%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:47, CPU: 14%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:50, CPU: 13.3%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:52, CPU: 11%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:54, CPU: 12.3%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:56, CPU: 11.4%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:12:58, CPU: 12.4%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:01, CPU: 12.2%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:03, CPU: 13.6%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:05, CPU: 12.6%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:07, CPU: 12.4%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:09, CPU: 12.4%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:12, CPU: 12.3%, Memory: 10.23%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:14, CPU: 11.9%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:16, CPU: 12.6%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:18, CPU: 12.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:21, CPU: 12.2%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:23, CPU: 12.4%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:25, CPU: 12.3%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:27, CPU: 11.1%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:29, CPU: 14.4%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:32, CPU: 13.9%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:34, CPU: 11.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:36, CPU: 12.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:38, CPU: 14%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:41, CPU: 12.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:43, CPU: 12.2%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:45, CPU: 12.3%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:47, CPU: 12.2%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:49, CPU: 14.5%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:52, CPU: 11.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:54, CPU: 12%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:56, CPU: 11.6%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:13:58, CPU: 12.4%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:00, CPU: 12%, Memory: 10.26%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:03, CPU: 14.4%, Memory: 10.26%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:05, CPU: 12.4%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:07, CPU: 12.4%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:09, CPU: 12%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:12, CPU: 12.2%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:14, CPU: 12.3%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:16, CPU: 13.6%, Memory: 10.24%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
2025-01-16 16:14:18, CPU: 11.8%, Memory: 10.25%, Download: 4.06 GiB KiB/s, Upload:  4.00 GiB KiB/s
